,accuracy,precision_weighted,recall_weighted,f1_weighted
bert-base-uncased,0.10577281191806331,0.025238499751268604,0.10577281191806331,0.022778378101137583
distilbert-base-uncased,0.11396648044692738,0.02378788571055139,0.11396648044692738,0.039205896829196306
roberta-base,0.09459962756052141,0.017627308725068378,0.09459962756052141,0.028962202905588534
albert-base-v2,0.10204841713221602,0.021694006872754287,0.10204841713221602,0.032770042315949564
xlnet-base-cased,0.10093109869646183,0.020183012045490018,0.10093109869646183,0.024880203262319902
