Unnamed: 0,accuracy,precision_weighted,recall_weighted,f1_weighted,Performance,rank
bert-base-uncased,0.1057728119180633,0.0252384997512686,0.1057728119180633,0.0227783781011375,0.41,3
distilbert-base-uncased,0.1139664804469273,0.0237878857105513,0.1139664804469273,0.0392058968291963,0.91,1
roberta-base,0.0945996275605214,0.0176273087250683,0.0945996275605214,0.0289622029055885,0.27,4
albert-base-v2,0.102048417132216,0.0216940068727542,0.102048417132216,0.0327700423159495,0.56,2
xlnet-base-cased,0.1009310986964618,0.02018301204549,0.1009310986964618,0.0248802032623199,0.22,5
